S.No,User,Tweet,Date,Retweets,Likes
1,Chirag Varna (Modi Ka Parivar),"@narendramodi @narendramodi_in @PMOIndia Punjabi artiste Diljit Dosanjh meets Prime Minister Shri Narendra Modi 
@narendramodi @narendramodi_in 
https://t.co/gFIW0ZFB0G",Thu Jan 02 17:27:26 +0000 2025,1,0
2,Goa Glimpse,"Prime Minister Narendra Modi meets singer and actor Diljit Dosanjh in New Delhi, praising him as a blend of talent and tradition. Diljit performs a song dedicated to Guru Nanak while PM Modi joins in by tapping rhythms on the table. 🎶🤝
 #India 
#DiljitDosanjh 
#NarendraModi https://t.co/Bl5IAAAEso",Thu Jan 02 15:19:00 +0000 2025,0,0
3,UdaipurTimes,"Diljit Dosanjh Fantastic Start to 2025, Meets PM Modi
Singer-actor Diljit Dosanjh recently met Prime Minister Narendra Modi on January 1, 2025, where the PM praised him for making a name internationally.
https://t.co/mLUL8FoMZt",Thu Jan 02 14:52:25 +0000 2025,0,0
4,MSN India,"Punjabi Singer Diljit Dosanjh meets Prime Minister Narendra Modi on New Year
https://t.co/uPGBQnHUAY",Thu Jan 02 13:30:29 +0000 2025,0,0
5,The News,"इस फ़ोटो में क्या ख़ास है?
Singer-actor Diljit Dosanjh meets Prime Minister Narendra Modi, in New Delhi https://t.co/d0wxV2ncYA",Thu Jan 02 13:07:17 +0000 2025,0,0
6,LocalTak™,"Punjabi actor-singer #DiljitDosanjh meets PM Modi: ‘A fantastic start to 2025

Punjabi actor-singer Diljit Dosanjh on Wednesday met Prime Minister Narendra Modi.

A fantastic start to 2025. A very memorable meeting with PM @narendramodi Ji. We talked about a lot of things https://t.co/kl9gyCmKDx",Thu Jan 02 06:50:29 +0000 2025,1,2
7,Bollywood Bubble,"Prime Minister Narendra Modi meets Diljit Dosanjh in New Year 2025, praises him; says, He’s truly multifaceted

@diljitdosanjh @narendramodi #BollywoodBubble 

https://t.co/krOiRNrRli",Thu Jan 02 06:45:00 +0000 2025,0,0
8,Jagran English,"#DiljitDosanjh Meets PM Modi: Prime Minister Narendra Modi praised singer-actor Diljit Dosanjh as 'a combination of talent and tradition' during their meeting. The two talked about India's vitality, including yoga, music and culture during the 'memorable' meeting. PM Modi https://t.co/r8a9yYKFud",Thu Jan 02 05:42:20 +0000 2025,0,0
9,Amanjit Singh,"A historic meeting of legends! Diljit Dosanjh, the iconic artist, meets Hon'ble Prime Minister Sh.Narendra Modi. A moment of cultural unity and national pride. https://t.co/dLBN0m18ov",Thu Jan 02 04:59:49 +0000 2025,0,1
10,Uday India Magazine,"#BigNews  🚨 Diljit Dosanjh meets Prime Minister Narendra Modi.
#DiljitDosanjh #NarendraModi https://t.co/ZJXnijAXAX",Thu Jan 02 04:35:50 +0000 2025,2,3
11,RTV,"Singer-actor Diljit Dosanjh met Prime Minister Narendra Modi.

@diljitdosanjh @narendramodi 
#actor #singer #DiljitDosanjh #meets #NarendraModi #RTV https://t.co/0gKB1qov5M",Thu Jan 02 04:20:56 +0000 2025,0,0
12,Satish Poonia,Diljit Dosanjh meets Prime Minister Narendra Modi Ji. https://t.co/1r6Hxbt08j,Thu Jan 02 03:38:08 +0000 2025,84,1028
13,Atulkrishan,"Indian singer Diljit Dosanjh meets Prime Minister Narendra Modi

During the meeting, he praised the Prime Minister and even delighted him with a song.

@narendramodi | @diljitdosanjh | #DiljitDosanjh https://t.co/qZk49T9YhY",Thu Jan 02 03:32:07 +0000 2025,5,6
14,ChaplinTv,"🚨🚨🚨 Breaking news:
First And Best Crossover of 2025 is here: Diljit Dosanjh meets Prime Minister Narendra Modi 😍

Know more: https://t.co/RUyvZhWySY https://t.co/9D5RJNox8t",Wed Jan 01 22:46:00 +0000 2025,0,0
15,Ramesh Tiwari,"Punjabi singer Diljit Dosanjh meets Prime Minister Narendra Modi

During the meeting, he praised the Prime Minister and even delighted him with a song.

Bichare libral 

@narendramodi | @diljitdosanjh | #DiljitDosanjh
 https://t.co/FH5nKpxxBZ",Wed Jan 01 18:48:03 +0000 2025,0,0
16,ROHIT,"Indian singer Diljit Dosanjh meets Prime Minister Narendra Modi

During the meeting, he praised the Prime Minister and even delighted him with a song.

@narendramodi | @diljitdosanjh | #DiljitDosanjh https://t.co/aCJkTMAueX",Wed Jan 01 18:45:37 +0000 2025,0,0
17,Suraj Choudhary,"Diljit Dosanjh meets PM Narendra Modi! 🇮🇳

A proud moment as the global Punjabi superstar had a warm interaction with the Prime Minister. Fans are loving this iconic meeting! 🙌

#DiljitDosanjh #PMModi #ProudMoment https://t.co/CHKu9wzvRU",Wed Jan 01 18:31:50 +0000 2025,0,1
18,The Growth Media,"Punjabi Actor-Singer Diljit Dosanjh Meets PM Modi: A Memorable Start to 2025

Diljit Dosanjh met Prime Minister Narendra Modi on Wednesday, kicking off the year with a noteworthy interaction. Sharing pictures of the meeting on X, Dosanjh wrote, “A fantastic start to 2025. A very https://t.co/MZO3M6Uktp",Wed Jan 01 18:27:18 +0000 2025,0,0
19,Covering PM,"Punjabi artiste Diljit Dosanjh meets Prime Minister

#Punjabi artiste Diljit Dosanjh (@diljitdosanjh) recently met Prime Minister (@PMOIndia) Narendra Modi (@narendramodi), marking a significant #interaction between the two. 

#PMModi praised #Diljit for his multifaceted https://t.co/0IM4abRKpF",Wed Jan 01 18:16:22 +0000 2025,2,6
20,Chirag Varna (Modi Ka Parivar),Singer Diljit Dosanjh meets Prime Minister Shri Narendra Modi https://t.co/T3pcrMj9bh,Wed Jan 01 18:15:31 +0000 2025,1,0
